Parameters,DataType,Start,End
mds_cache_memory_limit,uint,1073741824,5073741824
mds_cache_reservation,double,0.05,1
mds_health_cache_threshold,double,1.5,5
mds_cache_trim_threshold,size,65536,85000
mds_cache_trim_decay_rate,double,1,5
mds_recall_max_caps,size,5000,8000
mds_recall_max_decay_threshold,size,16384,28000
mds_recall_max_decay_rate,double,2.5,7.5
mds_recall_global_max_decay_threshold,size,65536,85000
mds_recall_warning_threshold,size,32768,86000
mds_recall_warning_decay_rate,float,60,80
mds_session_cap_acquisition_throttle,uint,500000,1000000
mds_session_cap_acquisition_decay_rate,float,10,20
mds_session_max_caps_throttle_ratio,float,1.1,4
mds_cap_acquisition_throttle_retry_request_timeout,float,0.5,4
mds_session_cache_liveness_magnitude,size,10,20
mds_session_cache_liveness_decay_rate,float,5,10
mds_max_caps_per_client,uint,1048576,3000000
mds_cache_mid,double,0.7,4
mds_dir_max_commit_size,int,10,30
mds_decay_halflife,double,5,25
mds_beacon_interval,double,4,20
mds_beacon_grace,double,15,50
mon_mds_blocklist_interval,float,3600,86400
mds_reconnect_timeout,double,45,120
mds_tick_interval,double,5,25
mds_dirstat_min_interval,float,1,15.5
mds_scatter_nudge_interval,double,5,20
mds_client_prealloc_inos,int,1000,3000
mds_early_reply,bool,0,1
mds_default_dir_hash,int,2,10
mds_log_skip_corrupt_events,bool,0,1
mds_log_max_events,int,-1,5
mds_log_max_segments,uint,128,2048
mds_bal_sample_interval,double,3,10
mds_bal_replicate_threshold,double,8000,15000
mds_bal_unreplicate_threshold,double,0,5
mds_bal_split_size,int,10000,80000
mds_bal_split_rd,double,25000,100000
mds_bal_split_wr,double,10000,80000
mds_bal_split_bits,int,1,24
mds_bal_merge_size,int,50,100
mds_bal_interval,int,10,50
mds_bal_fragment_interval,int,5,20
mds_bal_fragment_fast_factor,double,1.5,20
mds_bal_fragment_size_max,int,100000,500000
mds_bal_idle_threshold,double,0,12
mds_bal_max,int,-1,2
mds_bal_max_until,int,-1,2
mds_bal_mode,int,1,3
mds_bal_min_rebalance,double,0.1,4
mds_bal_min_start,double,0.2,5
mds_bal_need_min,double,0.8,5
mds_bal_need_max,double,1.2,10
mds_bal_midchunk,double,0.3,5
mds_bal_minchunk,double,0.001,1
mds_replay_interval,double,1,7
mds_shutdown_check,int,1,5
mds_thrash_exports,int,1,5
mds_thrash_fragments,int,1,5
mds_dump_cache_on_map,bool,0,1
mds_dump_cache_after_rejoin,bool,0,1
mds_verify_scatter,bool,0,1
mds_debug_scatterstat,bool,0,1
mds_debug_frag,bool,0,1
mds_debug_auth_pins,bool,0,1
mds_debug_subtrees,bool,0,1
mds_kill_mdstable_at,int,1,6
mds_kill_export_at,int,1,6
mds_kill_import_at,int,1,6
mds_kill_link_at,int,1,5
mds_kill_rename_at,int,1,5
mds_wipe_sessions,bool,0,1
mds_wipe_ino_prealloc,bool,0,1
mds_skip_ino,int,1,4
mds_min_caps_per_client,uint,100,500
bluestore_cache_trim_interval,double,0.05,1
bluestore_default_buffered_read,bool,0,1
bluestore_default_buffered_write,bool,0,1
bluestore_deferred_batch_ops,uint,1,64
bluestore_deferred_batch_ops_hdd,uint,64,128
bluestore_deferred_batch_ops_ssd,uint,16,128
bluestore_fsck_read_bytes_cap,size,67108864,87108864
bluestore_max_deferred_txc,uint,32,120
bluestore_prefer_deferred_size,uint,1,24
bluestore_prefer_deferred_size_hdd,uint,32768,50000
bluestore_prefer_deferred_size_ssd,uint,1,2400
bluestore_throttle_bytes,size,67108864,97108864
client_cache_mid,double,0.75,2
client_cache_size,int,16384,34000
client_oc,bool,1,1
client_oc_max_dirty,int,104857600,104857600
client_oc_max_dirty_age,double,5,25
client_oc_max_objects,int,1000,10000
client_oc_size,int,209715200,509715200
client_oc_target_dirty,int,8388608,12000000
client_readahead_max_bytes,size,1,1024
client_readahead_max_periods,int,4,20
client_readahead_min,int,131072,450000
ms_async_max_op_threads,uint,5,24
ms_async_op_threads,uint,1,24
osd_bench_max_block_size,uint,67108864,80000000
osd_bench_small_size_max_iops,uint,100,500
osd_pool_default_cache_max_evict_check_size,int,10,50
osd_pool_default_cache_min_evict_age,int,1,10
osd_pool_default_cache_min_flush_age,int,1,10
osd_pool_default_cache_target_dirty_high_ratio,double,0.6,5
osd_pool_default_cache_target_dirty_ratio,double,0.4,4.5
osd_pool_default_cache_target_full_ratio,double,0.8,4.5
osd_target_transaction_size,int,30,50
osd_tier_default_cache_hit_set_count,uint,4,8
osd_tier_default_cache_hit_set_grade_decay_rate,uint,20,50
osd_tier_default_cache_hit_set_period,uint,1200,2400
osd_tier_default_cache_hit_set_search_last_n,uint,1,5
osd_tier_default_cache_min_read_recency_for_promote,uint,1,5
osd_tier_default_cache_min_write_recency_for_promote,uint,1,5
rbd_cache,bool,0,1
rbd_cache_block_writes_upfront,bool,0,1
rbd_cache_max_dirty,size,25165824,50000000
rbd_cache_max_dirty_age,double,1,5
rbd_cache_max_dirty_object,int,1,5
rbd_cache_size,size,33554432,5120000
rbd_cache_target_dirty,size,16777216,24000000
rbd_cache_writethrough_until_flush,bool,0,1
rbd_enable_alloc_hint,bool,0,1
rbd_non_blocking_aio,bool,0,1
rbd_readahead_disable_after_bytes,size,52428800,80000000
rbd_readahead_max_bytes,size,524288,1240000
