Target,client_oc_max_dirty,osd_tier_default_cache_hit_set_count,mds_dir_max_commit_size,mds_recall_max_caps,bluestore_fsck_read_bytes_cap,mds_cache_reservation,mds_session_cache_liveness_magnitude,mds_recall_warning_threshold
353,104884966,10,34,11149,87135672,0.23735599999999998,28,91892
348,104868637,9,33,12159,87140091,1.18919,24,89999
351,104868465,8,36,12170,87134136,0.318245,25,116623
355,104870555,8,30,12311,87125011,1.32626,20,91720
350,104889888,8,32,10242,87116003,0.160683,26,100167
348,104881232,8,34,8960,87121880,1.3679,29,90536
356,104875894,11,36,10681,87121227,0.662208,28,94283
355,104872086,8,32,8811,87111498,0.567511,20,98698
351,104877403,9,37,12971,87129274,1.3638,29,90407
355,104857615,8,34,12984,87136894,1.35511,21,108792
355,104874743,9,38,9556,87134085,0.264879,25,106105
354,104885679,11,34,9737,87113508,1.2179,20,94642
349,104870082,9,33,8932,87123833,1.65822,20,106090
356,104885301,10,39,8320,87118649,1.36404,24,110482
348,104861446,9,37,11859,87123083,1.35004,25,112184
345,104886771,9,32,12893,87121367,0.36348400000000003,24,100788
349,104875408,9,30,9763,87114396,1.00632,20,111428
353,104888952,9,38,10505,87128543,1.9710400000000001,20,88751
350,104870624,9,34,9674,87117519,1.69616,23,99913
349,104888206,11,39,8179,87122982,0.138456,23,91501
357,104878929,10,37,11679,87132207,1.60565,26,113700
348,104859121,10,32,8030,87116930,1.2093399999999999,28,98429
351,104879341,8,38,10271,87121285,1.28532,20,109116
352,104864904,11,34,9357,87125512,1.80293,21,97217
357,104886235,11,34,10110,87114517,1.8215,27,117675
346,104865336,8,32,10202,87109585,1.13721,26,99392
346,104863288,9,34,8893,87112805,0.07450169999999999,21,102920
359,104859511,9,34,8761,87124693,1.50785,29,108927
342,104870875,11,35,9717,87112305,1.0117399999999999,27,95720
350,104881573,11,39,11170,87115955,1.12976,20,107694
342,104882535,8,36,9667,87132984,0.12016500000000001,20,88104
356,104882941,11,39,12763,87118217,1.04188,24,114064
348,104879048,10,30,11655,87113413,0.336878,21,107356
350,104878462,10,38,10708,87130020,1.37345,29,87649
357,104889654,8,33,12716,87139959,0.740458,27,99194
351,104881394,10,35,9601,87117843,0.5917680000000001,24,89361
350,104889865,8,36,11297,87113609,1.04964,26,105284
346,104865338,8,35,12845,87116935,0.9225610000000001,27,112101
354,104881660,10,37,9305,87135341,1.72747,23,114857
349,104883394,10,31,11472,87115906,0.150279,21,109554
352,104877949,9,35,8999,87137660,0.207535,28,109648
356,104875283,10,38,12165,87112751,0.637081,27,107454
350,104884618,10,32,8197,87116314,0.08574839999999999,21,116067
350,104859442,8,31,11611,87120865,1.42119,21,118705
349,104878636,8,36,10021,87122713,1.10127,29,88138
351,104867106,8,34,8442,87141449,1.40629,26,101385
346,104876316,10,31,12272,87123172,0.0922085,27,103848
357,104888946,8,37,12454,87113376,0.672046,26,104498
349,104881660,10,34,8020,87135759,0.35877800000000004,26,98277
351,104857789,11,35,11472,87122286,0.11183299999999999,25,104754
349,104888806,8,30,10776,87125019,1.5127899999999999,23,89678
353,104865136,11,37,8567,87128178,1.42584,23,93095
356,104860057,8,31,11973,87112478,0.294804,25,105798
346,104886354,9,32,10668,87131724,0.34575700000000004,27,97406
351,104874409,10,37,10363,87140254,1.43858,21,97089
348,104877489,10,37,10802,87131649,0.9711770000000001,20,106055
355,104865141,9,32,12934,87140481,1.57104,25,99278
345,104861218,8,37,8974,87113262,0.29495,21,103558
352,104878032,10,33,9309,87125802,0.670808,22,91481
354,104867272,10,33,12259,87112460,1.87652,22,104521
347,104881822,8,35,8448,87110274,1.50146,25,111899
354,104876479,8,31,11016,87118767,1.1617899999999999,27,94667
352,104878080,9,30,10842,87125723,1.00403,24,108143
352,104881139,11,34,8477,87116444,0.914092,23,96857
348,104879939,8,33,11066,87132982,1.0857700000000001,27,86098
357,104883656,11,37,10065,87129238,0.6728609999999999,29,100234
354,104859151,11,37,8790,87122741,0.478152,28,116122
351,104865430,8,35,10438,87111418,0.964772,20,98990
351,104864226,11,37,11977,87136732,0.6620199999999999,23,92014
353,104868571,8,31,12988,87110476,1.69107,25,104480
350,104862906,10,31,12711,87126305,0.294542,22,106354
350,104859621,9,34,11210,87128258,1.6401,27,111845
358,104885831,11,39,12105,87109915,0.838298,27,93155
354,104872122,8,38,10969,87118340,1.33972,24,115959
353,104869128,8,31,12350,87131360,0.589956,26,97096
351,104880163,10,38,10471,87117976,0.0562269,29,98899
351,104883432,9,33,12557,87129680,1.91353,26,90568
349,104868035,8,30,12805,87118179,0.48467899999999997,21,89470
350,104886391,11,30,11906,87136169,0.0670936,27,95433
355,104889989,9,35,12765,87123711,1.95075,20,113217
351,104880964,8,37,10726,87109556,0.31855,28,107509
352,104867733,11,36,11495,87114451,0.39155300000000004,27,97844
351,104861127,8,32,10644,87140275,1.78575,20,110056
357,104866229,8,32,11674,87133271,1.11191,28,104768
347,104874987,10,37,8171,87112451,0.709866,21,101863
354,104865133,11,36,11262,87119993,0.556427,28,113546
354,104885387,9,39,12741,87137618,0.0573703,27,101456
345,104868971,8,34,11166,87110494,0.851406,20,110765
348,104870528,9,38,8080,87140686,0.46853,24,104187
344,104859169,8,33,8217,87137095,0.5282180000000001,27,92681
356,104881943,11,34,10547,87141308,0.7455970000000001,28,105251
348,104862613,8,34,11327,87118433,0.11970599999999999,22,104594
349,104871832,11,33,11186,87122304,1.08297,28,96013
350,104872507,9,36,12056,87127579,1.67904,22,92946
353,104876460,10,39,11194,87124607,1.05221,28,87516
350,104880429,9,35,8982,87131455,0.7615609999999999,29,114126
352,104882139,9,35,10949,87140365,0.9175530000000001,24,102711
353,104888278,11,35,12053,87131763,0.403016,20,107965
346,104863712,9,31,8648,87112390,1.4671399999999999,24,105438
355,104878895,8,37,11675,87125045,1.8368200000000001,27,96615
