Target,mds_recall_warning_threshold,mds_dir_max_commit_size,mds_recall_max_caps,mds_session_cache_liveness_magnitude,bluestore_fsck_read_bytes_cap,osd_tier_default_cache_hit_set_count,osd_target_transaction_size,mds_min_caps_per_client,rbd_readahead_max_bytes,client_oc_max_dirty,mds_cache_reservation
353,91892,34,11149,28,87135672,10,53,533,1253394,104884966,0.23735599999999998
348,89999,33,12159,24,87140091,9,73,546,1266497,104868637,1.18919
351,116623,36,12170,25,87134136,8,77,574,1262069,104868465,0.318245
355,91720,30,12311,20,87125011,8,71,527,1267699,104870555,1.32626
350,100167,32,10242,26,87116003,8,67,557,1251209,104889888,0.160683
348,90536,34,8960,29,87121880,8,51,541,1252590,104881232,1.3679
356,94283,36,10681,28,87121227,11,54,500,1252631,104875894,0.662208
355,98698,32,8811,20,87111498,8,51,584,1270818,104872086,0.567511
351,90407,37,12971,29,87129274,9,53,505,1255768,104877403,1.3638
355,108792,34,12984,21,87136894,8,61,555,1243976,104857615,1.35511
355,106105,38,9556,25,87134085,9,73,594,1248925,104874743,0.264879
354,94642,34,9737,20,87113508,11,60,526,1257624,104885679,1.2179
349,106090,33,8932,20,87123833,9,69,509,1262637,104870082,1.65822
356,110482,39,8320,24,87118649,10,78,533,1247309,104885301,1.36404
348,112184,37,11859,25,87123083,9,77,500,1269539,104861446,1.35004
345,100788,32,12893,24,87121367,9,74,531,1244800,104886771,0.36348400000000003
349,111428,30,9763,20,87114396,9,67,517,1257124,104875408,1.00632
353,88751,38,10505,20,87128543,9,69,559,1271147,104888952,1.9710400000000001
350,99913,34,9674,23,87117519,9,62,589,1248688,104870624,1.69616
349,91501,39,8179,23,87122982,11,50,587,1243648,104888206,0.138456
357,113700,37,11679,26,87132207,10,67,592,1262955,104878929,1.60565
348,98429,32,8030,28,87116930,10,56,544,1264863,104859121,1.2093399999999999
351,109116,38,10271,20,87121285,8,61,519,1244648,104879341,1.28532
352,97217,34,9357,21,87125512,11,61,589,1272499,104864904,1.80293
357,117675,34,10110,27,87114517,11,73,549,1266953,104886235,1.8215
346,99392,32,10202,26,87109585,8,73,512,1252939,104865336,1.13721
346,102920,34,8893,21,87112805,9,52,532,1243320,104863288,0.07450169999999999
359,108927,34,8761,29,87124693,9,79,549,1269683,104859511,1.50785
342,95720,35,9717,27,87112305,11,51,508,1250582,104870875,1.0117399999999999
350,107694,39,11170,20,87115955,11,78,577,1266984,104881573,1.12976
342,88104,36,9667,20,87132984,8,50,513,1252587,104882535,0.12016500000000001
356,114064,39,12763,24,87118217,11,67,550,1250628,104882941,1.04188
348,107356,30,11655,21,87113413,10,56,545,1249528,104879048,0.336878
350,87649,38,10708,29,87130020,10,72,569,1242887,104878462,1.37345
357,99194,33,12716,27,87139959,8,53,567,1263028,104889654,0.740458
351,89361,35,9601,24,87117843,10,61,560,1265223,104881394,0.5917680000000001
350,105284,36,11297,26,87113609,8,52,547,1260654,104889865,1.04964
346,112101,35,12845,27,87116935,8,58,536,1270676,104865338,0.9225610000000001
354,114857,37,9305,23,87135341,10,62,558,1272617,104881660,1.72747
349,109554,31,11472,21,87115906,10,58,579,1250238,104883394,0.150279
352,109648,35,8999,28,87137660,9,69,534,1244525,104877949,0.207535
356,107454,38,12165,27,87112751,10,51,543,1262315,104875283,0.637081
350,116067,32,8197,21,87116314,10,61,585,1245893,104884618,0.08574839999999999
350,118705,31,11611,21,87120865,8,66,512,1246401,104859442,1.42119
349,88138,36,10021,29,87122713,8,60,529,1241841,104878636,1.10127
351,101385,34,8442,26,87141449,8,71,528,1253820,104867106,1.40629
346,103848,31,12272,27,87123172,10,76,553,1268546,104876316,0.0922085
357,104498,37,12454,26,87113376,8,69,593,1245202,104888946,0.672046
349,98277,34,8020,26,87135759,10,58,586,1256250,104881660,0.35877800000000004
351,104754,35,11472,25,87122286,11,74,547,1264800,104857789,0.11183299999999999
349,89678,30,10776,23,87125019,8,78,514,1250325,104888806,1.5127899999999999
353,93095,37,8567,23,87128178,11,65,515,1252537,104865136,1.42584
356,105798,31,11973,25,87112478,8,69,511,1249017,104860057,0.294804
346,97406,32,10668,27,87131724,9,61,508,1258959,104886354,0.34575700000000004
351,97089,37,10363,21,87140254,10,53,504,1268725,104874409,1.43858
348,106055,37,10802,20,87131649,10,74,561,1253185,104877489,0.9711770000000001
355,99278,32,12934,25,87140481,9,74,513,1249842,104865141,1.57104
345,103558,37,8974,21,87113262,8,61,506,1266352,104861218,0.29495
352,91481,33,9309,22,87125802,10,65,525,1262475,104878032,0.670808
354,104521,33,12259,22,87112460,10,73,587,1241893,104867272,1.87652
347,111899,35,8448,25,87110274,8,68,580,1245639,104881822,1.50146
354,94667,31,11016,27,87118767,8,70,533,1271617,104876479,1.1617899999999999
352,108143,30,10842,24,87125723,9,72,546,1263905,104878080,1.00403
352,96857,34,8477,23,87116444,11,64,561,1264715,104881139,0.914092
348,86098,33,11066,27,87132982,8,75,546,1241805,104879939,1.0857700000000001
357,100234,37,10065,29,87129238,11,78,570,1271258,104883656,0.6728609999999999
354,116122,37,8790,28,87122741,11,54,546,1241650,104859151,0.478152
351,98990,35,10438,20,87111418,8,67,548,1258588,104865430,0.964772
351,92014,37,11977,23,87136732,11,62,521,1252053,104864226,0.6620199999999999
353,104480,31,12988,25,87110476,8,52,596,1251390,104868571,1.69107
350,106354,31,12711,22,87126305,10,57,568,1265748,104862906,0.294542
350,111845,34,11210,27,87128258,9,56,521,1248061,104859621,1.6401
358,93155,39,12105,27,87109915,11,61,521,1248346,104885831,0.838298
354,115959,38,10969,24,87118340,8,53,597,1242224,104872122,1.33972
353,97096,31,12350,26,87131360,8,51,544,1264807,104869128,0.589956
351,98899,38,10471,29,87117976,10,53,542,1261336,104880163,0.0562269
351,90568,33,12557,26,87129680,9,72,590,1255749,104883432,1.91353
349,89470,30,12805,21,87118179,8,52,595,1255732,104868035,0.48467899999999997
350,95433,30,11906,27,87136169,11,69,570,1257733,104886391,0.0670936
355,113217,35,12765,20,87123711,9,69,529,1269117,104889989,1.95075
351,107509,37,10726,28,87109556,8,63,555,1246578,104880964,0.31855
352,97844,36,11495,27,87114451,11,72,521,1267374,104867733,0.39155300000000004
351,110056,32,10644,20,87140275,8,62,576,1242986,104861127,1.78575
357,104768,32,11674,28,87133271,8,71,531,1257520,104866229,1.11191
347,101863,37,8171,21,87112451,10,53,564,1241209,104874987,0.709866
354,113546,36,11262,28,87119993,11,66,504,1267535,104865133,0.556427
354,101456,39,12741,27,87137618,9,66,586,1269309,104885387,0.0573703
345,110765,34,11166,20,87110494,8,58,588,1267221,104868971,0.851406
348,104187,38,8080,24,87140686,9,55,568,1241670,104870528,0.46853
344,92681,33,8217,27,87137095,8,56,596,1247175,104859169,0.5282180000000001
356,105251,34,10547,28,87141308,11,53,579,1247267,104881943,0.7455970000000001
348,104594,34,11327,22,87118433,8,52,594,1270628,104862613,0.11970599999999999
349,96013,33,11186,28,87122304,11,79,536,1253938,104871832,1.08297
350,92946,36,12056,22,87127579,9,55,522,1252522,104872507,1.67904
353,87516,39,11194,28,87124607,10,58,525,1240135,104876460,1.05221
350,114126,35,8982,29,87131455,9,67,500,1270104,104880429,0.7615609999999999
352,102711,35,10949,24,87140365,9,71,599,1261331,104882139,0.9175530000000001
353,107965,35,12053,20,87131763,11,56,598,1246499,104888278,0.403016
346,105438,31,8648,24,87112390,9,71,520,1246885,104863712,1.4671399999999999
355,96615,37,11675,27,87125045,8,61,561,1256058,104878895,1.8368200000000001
