mds_cache_memory_limit,mds_cache_reservation,mds_health_cache_threshold,mds_cache_trim_threshold,mds_cache_trim_decay_rate,mds_recall_max_caps,mds_recall_max_decay_threshold,mds_recall_max_decay_rate,mds_recall_global_max_decay_threshold,mds_recall_warning_threshold,mds_recall_warning_decay_rate,mds_session_cap_acquisition_throttle,mds_session_cap_acquisition_decay_rate,mds_session_max_caps_throttle_ratio,mds_cap_acquisition_throttle_retry_request_timeout,mds_session_cache_liveness_magnitude,mds_session_cache_liveness_decay_rate,mds_max_caps_per_client,mds_cache_mid,mds_dir_max_commit_size,mds_decay_halflife,mds_beacon_interval,mds_beacon_grace,mon_mds_blocklist_interval,mds_reconnect_timeout,mds_tick_interval,mds_dirstat_min_interval,mds_scatter_nudge_interval,mds_client_prealloc_inos,mds_early_reply,mds_default_dir_hash,mds_log_skip_corrupt_events,mds_log_max_events,mds_log_max_segments,mds_bal_sample_interval,mds_bal_replicate_threshold,mds_bal_unreplicate_threshold,mds_bal_split_size,mds_bal_split_rd,mds_bal_split_wr,mds_bal_split_bits,mds_bal_merge_size,mds_bal_interval,mds_bal_fragment_interval,mds_bal_fragment_fast_factor,mds_bal_fragment_size_max,mds_bal_idle_threshold,mds_bal_max,mds_bal_max_until,mds_bal_mode,mds_bal_min_rebalance,mds_bal_min_start,mds_bal_need_min,mds_bal_need_max,mds_bal_midchunk,mds_bal_minchunk,mds_replay_interval,mds_shutdown_check,mds_thrash_exports,mds_thrash_fragments,mds_dump_cache_on_map,mds_dump_cache_after_rejoin,mds_verify_scatter,mds_debug_scatterstat,mds_debug_frag,mds_debug_auth_pins,mds_debug_subtrees,mds_kill_mdstable_at,mds_kill_export_at,mds_kill_import_at,mds_kill_link_at,mds_kill_rename_at,mds_wipe_sessions,mds_wipe_ino_prealloc,mds_skip_ino,mds_min_caps_per_client,bluestore_cache_trim_interval,bluestore_default_buffered_read,bluestore_default_buffered_write,bluestore_deferred_batch_ops,bluestore_deferred_batch_ops_hdd,bluestore_deferred_batch_ops_ssd,bluestore_fsck_read_bytes_cap,bluestore_max_deferred_txc,bluestore_prefer_deferred_size,bluestore_prefer_deferred_size_hdd,bluestore_prefer_deferred_size_ssd,bluestore_throttle_bytes,client_cache_mid,client_cache_size,client_oc,client_oc_max_dirty,client_oc_max_dirty_age,client_oc_max_objects,client_oc_size,client_oc_target_dirty,client_readahead_max_bytes,client_readahead_max_periods,client_readahead_min,ms_async_max_op_threads,ms_async_op_threads,osd_bench_max_block_size,osd_bench_small_size_max_iops,osd_pool_default_cache_max_evict_check_size,osd_pool_default_cache_min_evict_age,osd_pool_default_cache_min_flush_age,osd_pool_default_cache_target_dirty_high_ratio,osd_pool_default_cache_target_dirty_ratio,osd_pool_default_cache_target_full_ratio,osd_target_transaction_size,osd_tier_default_cache_hit_set_count,osd_tier_default_cache_hit_set_grade_decay_rate,osd_tier_default_cache_hit_set_period,osd_tier_default_cache_hit_set_search_last_n,osd_tier_default_cache_min_read_recency_for_promote,osd_tier_default_cache_min_write_recency_for_promote,rbd_cache,rbd_cache_block_writes_upfront,rbd_cache_max_dirty,rbd_cache_max_dirty_age,rbd_cache_max_dirty_object,rbd_cache_size,rbd_cache_target_dirty,rbd_cache_writethrough_until_flush,rbd_enable_alloc_hint,rbd_non_blocking_aio,rbd_readahead_disable_after_bytes,rbd_readahead_max_bytes,Average IOPS
1073746379,1.77341,5.47709,79403,5.41899,5628,21108,7.80279,68118,43958,78.5598,523884,19.7218,4.54681,4.47709,15,10.3028,1071959,4.50033,24,23.5598,19.0246,46.8167,76779.4,112.169,23.5598,14.6989,19.1408,1581,0,7,1,3,743,10.0704,14187.5,5.30279,40735,91285.7,71866.8,22,88,32,7,18.7341,124709,11.4894,0,0,1,4.43061,5.32603,5.39575,9.86122,5.33765,1.76771,7.18659,3,3,3,0,1,1,1,1,1,0,2,4,3,3,3,1,1,1,229,1.77341,1,0,44,105,102,67117029,88,3,45218,1108,67132823,2.73855,23533,0,104857600,23.5598,7663,209721908,8411612,781,13,153464,10,7,67126582,491,40,8,5,5.37251,4.90737,4.95385,47,6,23,1291,3,1,2,0,0,25189146,5.41899,3,33583270,16800370,1,1,0,52428990,553804,395
1073757723,0.69641,2.99172,70619,2.65746,5313,22948,4.48895,66317,50800,66.9613,506834,13.6464,2.39282,1.99172,15,6.98895,1069106,2.12542,21,11.9613,9.63537,26.9337,31047.9,70.1934,11.9613,6.13813,10.3039,2524,0,8,1,-1,884,5.65194,10320.8,1.98895,10882,49862.3,33204.8,9,84,43,15,7.9641,130055,4.3094,0,-1,1,1.72431,2.12266,2.52376,4.44863,2.18951,0.663653,3.32045,2,1,1,1,0,0,1,1,0,0,2,4,2,2,2,1,0,2,151,0.69641,1,1,12,70,28,67111905,89,20,46425,308,67120213,1.49586,31113,0,104857600,11.9613,2174,209715411,8412150,262,7,132259,10,19,67139150,450,17,7,2,2.39006,2.09061,2.35801,48,4,39,1387,1,2,2,1,0,25176783,2.65746,3,33581560,16790639,1,0,0,52433220,533522,389
1073755920,1.9123,5.79762,65570,5.77514,7587,19545,8.23016,76104,53734,80.0556,528180,20.5053,4.82461,4.79762,15,10.7302,1055112,4.80662,28,25.0556,20.2355,49.381,82677.2,117.582,25.0556,15.8029,20.2804,1388,0,2,0,0,1290,10.6402,14686.1,5.73016,38830,96628.0,76852.9,5,84,34,12,20.123,110554,12.4154,0,-1,1,4.77963,5.73916,5.76614,10.5593,5.74366,1.9101,7.68519,1,1,2,0,0,1,0,0,1,0,2,2,3,1,1,1,0,1,340,1.9123,0,1,14,95,17,67127443,77,1,42752,2361,67130453,2.89881,18996,1,104857600,25.0556,8576,209722557,8405310,111,8,142838,14,6,67132451,495,46,5,2,5.75715,5.27064,5.28863,45,6,39,1761,3,3,3,0,1,25172414,5.77514,3,33555462,16800850,0,1,1,52439789,544721,389
1073756952,1.10181,3.92725,65708,3.69694,5873,20585,5.73633,66026,44157,71.3272,517913,15.9333,3.20362,2.92725,14,8.23633,1076282,3.01937,23,16.3272,13.1696,34.418,48261.9,85.9935,16.3272,9.36053,13.6302,2000,1,2,1,1,1133,7.31511,11776.3,3.23633,26768,65454.7,47757.8,22,71,21,17,12.0181,108703,7.01205,-1,-1,1,2.743,3.32845,3.60482,6.48601,3.37452,1.07924,4.77572,1,3,2,1,1,0,1,1,0,0,2,3,2,3,3,1,0,2,156,1.10181,1,1,59,126,20,67125232,61,21,37494,1530,67128128,1.96362,27490,1,104857600,16.3272,7810,209730315,8415879,298,7,132977,5,17,67122399,287,40,6,7,3.5127,3.15088,3.33513,37,6,28,2261,2,3,2,0,1,25175001,3.69694,1,33584802,16785386,0,1,1,52453820,524748,394
1073764622,1.80334,5.54618,82259,5.49575,5692,19992,7.8949,80342,41495,78.8822,518749,19.8907,4.60669,4.54618,17,10.3949,1057700,4.56635,15,23.8822,19.2856,47.3694,78050.5,113.335,23.8822,14.9368,19.3864,2594,0,8,1,1,1644,10.1932,14295.0,5.3949,41579,92437.2,72941.4,7,55,42,5,19.0334,108544,11.689,0,0,1,4.50584,5.41507,5.47558,10.0117,5.42516,1.7984,7.29405,3,3,1,1,0,1,0,1,1,1,2,1,1,1,3,1,1,1,148,1.80334,1,1,56,77,33,67125409,51,7,45345,545,67119530,2.77309,19668,0,104857600,23.8822,6645,209742237,8409257,168,17,155858,18,11,67122218,454,12,8,5,5.45541,4.98567,5.02601,32,6,20,1378,1,2,1,1,0,25172272,5.49575,2,33582215,16783519,0,0,0,52442225,525243,392
1073774365,0.573021,2.70697,69483,2.34108,7573,17243,4.1093,70739,35609,65.6325,521422,12.9504,2.14604,1.70697,16,6.6093,1077336,1.85333,12,10.6325,8.55967,24.6558,25808.6,65.3844,10.6325,5.15735,9.29146,1767,1,8,0,-1,1331,5.14573,9877.78,1.6093,35247,45116.5,28775.4,22,91,15,7,6.73021,116268,3.48681,-1,-1,1,1.41426,1.75565,2.19472,3.82852,1.82883,0.537164,2.87751,1,2,3,1,0,0,1,1,0,1,3,3,1,3,2,1,0,2,166,0.573021,1,0,2,114,112,67110310,110,9,44275,407,67125518,1.35349,27773,0,104857600,10.6325,1302,209718343,8405038,399,9,151405,11,20,67140997,114,16,2,5,2.04837,1.7679,2.06062,42,6,38,1400,2,2,3,0,1,25182801,2.34108,2,33556387,16806245,1,1,1,52456805,528520,387
1073751537,0.41782,2.34882,78140,1.94313,7634,24927,3.63175,84929,43760,63.9611,501479,12.0749,1.83564,1.34882,12,6.13175,1059154,1.51109,22,8.96114,7.20664,21.7905,19218.4,59.3356,8.96114,3.9237,8.01801,1326,0,2,0,0,1342,4.50901,9320.57,1.13175,37435,39147.1,23204.0,21,69,43,17,5.1782,111743,2.45213,0,-1,1,1.02427,1.29403,1.78085,3.3824,1.56936,0.446166,2.55886,3,2,2,0,0,0,1,1,0,0,3,4,3,3,1,1,0,1,498,0.484254,0,0,21,97,64,67115992,51,1,44571,687,67109934,1.25106,19831,1,104857600,9.67658,3818,209739048,8420871,213,12,153109,17,7,67136802,453,40,7,6,1.80255,1.53574,1.84666,43,4,46,1902,2,1,3,1,0,25168037,2.11347,2,33558202,16805136,1,0,0,52433064,541389,391
1073745659,1.25603,4.28314,80979,4.09238,7438,22716,6.21086,73756,41117,72.988,515899,16.8032,3.51206,3.28314,11,8.71086,1050003,3.35945,21,17.988,14.5141,37.2651,54810.5,92.0042,17.988,10.5864,14.8956,2770,1,2,1,-1,941,7.94781,12330.0,3.71086,39797,71386.3,53294.0,13,82,27,7,13.5603,116001,8.04019,-1,0,1,3.13053,3.78716,4.01608,7.26107,3.82531,1.23733,5.32933,2,3,3,1,1,1,1,0,1,0,1,3,4,2,3,0,1,2,441,1.25603,1,1,15,82,39,67126692,79,5,46685,1700,67131138,2.14157,30077,1,104857600,17.988,4240,209737396,8420295,33,7,146045,14,14,67127634,219,28,1,6,3.93977,3.55423,3.70684,39,5,35,2284,1,1,3,0,1,25195235,4.09238,3,33563870,16781190,1,0,0,52430311,531084,390
1073747980,1.89392,5.75521,68863,5.72801,5022,17726,8.17361,65568,53979,79.8576,513054,20.4016,4.78784,4.75521,10,10.6736,1065700,4.76609,15,24.8576,20.0752,49.0416,81896.7,116.866,24.8576,15.6568,20.1296,2147,0,6,1,1,565,10.5648,14620.2,5.67361,15790,95921.0,76193.0,12,61,39,12,19.9392,114151,12.2928,-1,-1,1,4.73345,5.68449,5.71713,10.4669,5.68993,1.89126,7.61921,3,2,2,0,0,1,0,1,1,0,3,3,3,3,2,0,0,1,445,1.89392,0,0,12,89,40,67113123,40,5,43030,1243,67140738,2.8776,22103,0,104857600,24.8576,1589,209726740,8393059,682,10,143158,8,5,67127179,283,27,1,3,5.70625,5.22257,5.24433,40,6,28,2397,2,1,1,1,1,25179761,5.72801,2,33575406,16802015,1,1,0,52457308,540739,401
1073771033,0.0690126,1.54388,71423,1.04875,7612,21798,2.5585,70543,36147,60.2048,518244,10.1073,1.13803,0.543875,13,5.0585,1067184,0.741925,20,5.20475,4.16575,15.351,4407.31,45.741,5.20475,1.15113,5.156,2383,0,7,1,-1,1061,3.078,8068.26,0.0585003,31585,25731.3,10682.5,21,71,35,17,1.69013,100040,0.126751,0,-1,1,0.147775,0.25655,0.8507,1.29555,0.355575,0.0204903,1.06825,2,1,2,0,1,1,1,1,1,1,3,1,4,2,1,1,1,2,451,0.0690126,0,1,2,86,48,67127047,95,13,48797,2301,67134577,0.771938,29578,1,104857600,5.20475,1299,209740165,8417925,127,9,143633,19,2,67114065,121,27,1,3,0.65265,0.449725,0.845825,36,5,20,2066,3,1,3,0,0,25197847,1.04875,2,33560818,16800611,0,0,1,52455563,532472,377
