score,parameters
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 70970056, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67481646, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 74732949, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 74149306, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 70060349, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 71707397, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 74263633, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 74786027, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 68243676, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
401.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 67137867, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
404.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67140166, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 74561520, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 75642595, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 71215584, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 72477114, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 77912731, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 68013040, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 70051651, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 76243793, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 72565139, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 69381573, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 77355727, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 76662598, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
404.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67138768, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79707195, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
404.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67139815, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67881666, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 70856745, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 71257797, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
400.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 72728690, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
