score,parameters
342.0,"{'mds_recall_warning_threshold': 83903, 'mds_dir_max_commit_size': 23, 'mds_recall_max_caps': 7852, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87107993, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 492, 'rbd_readahead_max_bytes': 858991, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9336777204057849}"
339.0,"{'mds_recall_warning_threshold': 84132, 'mds_dir_max_commit_size': 18, 'mds_recall_max_caps': 6368, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87108395, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 47, 'mds_min_caps_per_client': 435, 'rbd_readahead_max_bytes': 624204, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3138378729585585}"
340.0,"{'mds_recall_warning_threshold': 84517, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 5479, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87102412, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 33, 'mds_min_caps_per_client': 468, 'rbd_readahead_max_bytes': 544567, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7495531484059318}"
341.0,"{'mds_recall_warning_threshold': 83834, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7683, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 87108805, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 484, 'rbd_readahead_max_bytes': 575854, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4374327556431862}"
340.0,"{'mds_recall_warning_threshold': 69898, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 7673, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87108743, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 489, 'rbd_readahead_max_bytes': 672741, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.21088857027883898}"
343.0,"{'mds_recall_warning_threshold': 79291, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7177, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87107495, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 489, 'rbd_readahead_max_bytes': 547733, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9823352372261821}"
342.0,"{'mds_recall_warning_threshold': 84391, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7136, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87108462, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 445, 'rbd_readahead_max_bytes': 587088, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.32660889424354483}"
341.0,"{'mds_recall_warning_threshold': 82925, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7998, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87108303, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 482, 'rbd_readahead_max_bytes': 966744, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5261552942189749}"
339.0,"{'mds_recall_warning_threshold': 76952, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7408, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87104095, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 47, 'mds_min_caps_per_client': 462, 'rbd_readahead_max_bytes': 600993, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.07872113682206289}"
340.0,"{'mds_recall_warning_threshold': 66900, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 7747, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87106808, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 500, 'rbd_readahead_max_bytes': 534108, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.16050680634891587}"
341.0,"{'mds_recall_warning_threshold': 84767, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 5847, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87106174, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 31, 'mds_min_caps_per_client': 487, 'rbd_readahead_max_bytes': 528193, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8891412264342359}"
339.0,"{'mds_recall_warning_threshold': 81961, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 6492, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 87086956, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 488, 'rbd_readahead_max_bytes': 586986, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3372034638604709}"
339.0,"{'mds_recall_warning_threshold': 75139, 'mds_dir_max_commit_size': 23, 'mds_recall_max_caps': 7987, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87106760, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 472, 'rbd_readahead_max_bytes': 1143879, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8645800613490413}"
340.0,"{'mds_recall_warning_threshold': 78242, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7934, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87104664, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 33, 'mds_min_caps_per_client': 446, 'rbd_readahead_max_bytes': 815523, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.26429180880714065}"
340.0,"{'mds_recall_warning_threshold': 85927, 'mds_dir_max_commit_size': 16, 'mds_recall_max_caps': 6940, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87108720, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 42, 'mds_min_caps_per_client': 432, 'rbd_readahead_max_bytes': 670021, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9400121166049391}"
338.0,"{'mds_recall_warning_threshold': 58352, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 7431, 'mds_session_cache_liveness_magnitude': 17, 'bluestore_fsck_read_bytes_cap': 87095474, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 40, 'mds_min_caps_per_client': 380, 'rbd_readahead_max_bytes': 549467, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7305883473186011}"
340.0,"{'mds_recall_warning_threshold': 84027, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7359, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87106972, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 33, 'mds_min_caps_per_client': 355, 'rbd_readahead_max_bytes': 564736, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.838091373680807}"
342.0,"{'mds_recall_warning_threshold': 85962, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7515, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87106257, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 42, 'mds_min_caps_per_client': 492, 'rbd_readahead_max_bytes': 889291, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9770122030863484}"
340.0,"{'mds_recall_warning_threshold': 70799, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 7353, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87104362, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 35, 'mds_min_caps_per_client': 481, 'rbd_readahead_max_bytes': 555378, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8192808977719288}"
342.0,"{'mds_recall_warning_threshold': 84250, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7372, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87104279, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 39, 'mds_min_caps_per_client': 449, 'rbd_readahead_max_bytes': 540621, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9125099536967927}"
339.0,"{'mds_recall_warning_threshold': 67787, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 5832, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87102915, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 457, 'rbd_readahead_max_bytes': 536568, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.2781832624594909}"
342.0,"{'mds_recall_warning_threshold': 83954, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7435, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87102461, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 437, 'rbd_readahead_max_bytes': 664803, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.39073949304805694}"
342.0,"{'mds_recall_warning_threshold': 84945, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7449, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87095263, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 500, 'rbd_readahead_max_bytes': 802316, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9788191953345715}"
341.0,"{'mds_recall_warning_threshold': 85092, 'mds_dir_max_commit_size': 24, 'mds_recall_max_caps': 7999, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 87097934, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 494, 'rbd_readahead_max_bytes': 526994, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5264389507539171}"
341.0,"{'mds_recall_warning_threshold': 82000, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7054, 'mds_session_cache_liveness_magnitude': 16, 'bluestore_fsck_read_bytes_cap': 87100653, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 42, 'mds_min_caps_per_client': 498, 'rbd_readahead_max_bytes': 907772, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8889020332638845}"
341.0,"{'mds_recall_warning_threshold': 72434, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7272, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 87105866, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 492, 'rbd_readahead_max_bytes': 602786, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8895055974124069}"
339.0,"{'mds_recall_warning_threshold': 81423, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 7348, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 87104307, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 38, 'mds_min_caps_per_client': 492, 'rbd_readahead_max_bytes': 1102071, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5150157639358971}"
341.0,"{'mds_recall_warning_threshold': 64926, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7518, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 87107952, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 30, 'mds_min_caps_per_client': 471, 'rbd_readahead_max_bytes': 524773, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9542969982639132}"
341.0,"{'mds_recall_warning_threshold': 74391, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7635, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87097463, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 32, 'mds_min_caps_per_client': 471, 'rbd_readahead_max_bytes': 614156, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5286779003816742}"
339.0,"{'mds_recall_warning_threshold': 82710, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 6222, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 87097625, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 37, 'mds_min_caps_per_client': 494, 'rbd_readahead_max_bytes': 562949, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.46765590904876925}"
