score,parameters
6638.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999949, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
6646.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999539, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6651.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999979, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6638.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999908, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
6650.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79996884, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6645.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 79999949, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6644.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 79998078, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6646.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 79996575, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6651.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999176, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6651.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999221, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6649.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 79999921, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6651.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999554, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
6647.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999736, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
