score,parameters
366.0,"{'mds_recall_warning_threshold': 82209, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7220, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86788710, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 206, 'rbd_readahead_max_bytes': 524529, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8822204746167635}"
364.0,"{'mds_recall_warning_threshold': 79314, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7942, 'mds_session_cache_liveness_magnitude': 17, 'bluestore_fsck_read_bytes_cap': 85094692, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 400, 'rbd_readahead_max_bytes': 524718, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.27389389406415793}"
364.0,"{'mds_recall_warning_threshold': 77108, 'mds_dir_max_commit_size': 23, 'mds_recall_max_caps': 7683, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 84503546, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 116, 'rbd_readahead_max_bytes': 524411, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6626531593469043}"
366.0,"{'mds_recall_warning_threshold': 84879, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7444, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86788170, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 469, 'rbd_readahead_max_bytes': 561153, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.2027418826973576}"
364.0,"{'mds_recall_warning_threshold': 82164, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 6869, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 83638774, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 204, 'rbd_readahead_max_bytes': 536805, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8746651441330324}"
365.0,"{'mds_recall_warning_threshold': 82799, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 7627, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86787270, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 158, 'rbd_readahead_max_bytes': 560497, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5180756621505778}"
364.0,"{'mds_recall_warning_threshold': 77600, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7043, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 84913815, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 288, 'rbd_readahead_max_bytes': 524886, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5530217876239757}"
366.0,"{'mds_recall_warning_threshold': 84805, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 6471, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 86767496, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 341, 'rbd_readahead_max_bytes': 525648, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4663653869388064}"
368.0,"{'mds_recall_warning_threshold': 76544, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7585, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86763436, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 262, 'rbd_readahead_max_bytes': 525353, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8113542780991982}"
366.0,"{'mds_recall_warning_threshold': 85157, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 7727, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86803480, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 180, 'rbd_readahead_max_bytes': 574508, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.999537732725903}"
367.0,"{'mds_recall_warning_threshold': 85908, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 6227, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86857907, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 39, 'mds_min_caps_per_client': 458, 'rbd_readahead_max_bytes': 527781, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9970110225921085}"
367.0,"{'mds_recall_warning_threshold': 80831, 'mds_dir_max_commit_size': 24, 'mds_recall_max_caps': 7951, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 86784902, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 155, 'rbd_readahead_max_bytes': 546325, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7718324390010812}"
364.0,"{'mds_recall_warning_threshold': 81664, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 7830, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 84292242, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 204, 'rbd_readahead_max_bytes': 545246, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.43517456242876046}"
365.0,"{'mds_recall_warning_threshold': 83241, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7640, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 83794362, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 158, 'rbd_readahead_max_bytes': 524734, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8821209197636376}"
365.0,"{'mds_recall_warning_threshold': 84311, 'mds_dir_max_commit_size': 22, 'mds_recall_max_caps': 8000, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 86825372, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 370, 'rbd_readahead_max_bytes': 551316, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.1359734677012714}"
364.0,"{'mds_recall_warning_threshold': 61365, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7999, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 84389218, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 121, 'rbd_readahead_max_bytes': 536247, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4039857972355722}"
367.0,"{'mds_recall_warning_threshold': 78979, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7830, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 86804484, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 362, 'rbd_readahead_max_bytes': 538140, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6708476605123314}"
366.0,"{'mds_recall_warning_threshold': 82932, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 7464, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86788630, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 47, 'mds_min_caps_per_client': 333, 'rbd_readahead_max_bytes': 559763, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6318592764774225}"
366.0,"{'mds_recall_warning_threshold': 80879, 'mds_dir_max_commit_size': 23, 'mds_recall_max_caps': 7707, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86871092, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 49, 'mds_min_caps_per_client': 178, 'rbd_readahead_max_bytes': 554046, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9403049542862025}"
364.0,"{'mds_recall_warning_threshold': 79489, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 7861, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 84382266, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 47, 'mds_min_caps_per_client': 148, 'rbd_readahead_max_bytes': 539812, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.39603540723599817}"
367.0,"{'mds_recall_warning_threshold': 81046, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7745, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 86848940, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 146, 'rbd_readahead_max_bytes': 524657, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3617763007310655}"
367.0,"{'mds_recall_warning_threshold': 83386, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7692, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 86799790, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 247, 'rbd_readahead_max_bytes': 538489, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.12321714648347389}"
365.0,"{'mds_recall_warning_threshold': 81942, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 7920, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 84568938, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 134, 'rbd_readahead_max_bytes': 527497, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7842123714127875}"
365.0,"{'mds_recall_warning_threshold': 80029, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7596, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 84803060, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 255, 'rbd_readahead_max_bytes': 524491, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9605276030306751}"
367.0,"{'mds_recall_warning_threshold': 83706, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 7698, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86848610, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 35, 'mds_min_caps_per_client': 356, 'rbd_readahead_max_bytes': 525493, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.1815414495737703}"
368.0,"{'mds_recall_warning_threshold': 80126, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 8000, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86730200, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 335, 'rbd_readahead_max_bytes': 524485, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.72589997929155}"
362.0,"{'mds_recall_warning_threshold': 65474, 'mds_dir_max_commit_size': 25, 'mds_recall_max_caps': 6506, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 84460151, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 158, 'rbd_readahead_max_bytes': 525271, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4511442902973281}"
363.0,"{'mds_recall_warning_threshold': 83510, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7661, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 84987338, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 47, 'mds_min_caps_per_client': 457, 'rbd_readahead_max_bytes': 541304, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.10108074133443422}"
364.0,"{'mds_recall_warning_threshold': 81444, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7317, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 84920969, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 334, 'rbd_readahead_max_bytes': 524566, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.2715733099036993}"
