score,parameters
345.0,"{'mds_recall_warning_threshold': 46919, 'mds_dir_max_commit_size': 16, 'mds_recall_max_caps': 7934, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 79645685, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 228, 'rbd_readahead_max_bytes': 1176705, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6150860681226277}"
345.0,"{'mds_recall_warning_threshold': 54343, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7626, 'mds_session_cache_liveness_magnitude': 13, 'bluestore_fsck_read_bytes_cap': 73214803, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 476, 'rbd_readahead_max_bytes': 610162, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6753452870002004}"
345.0,"{'mds_recall_warning_threshold': 77860, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 6107, 'mds_session_cache_liveness_magnitude': 16, 'bluestore_fsck_read_bytes_cap': 70907452, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 37, 'mds_min_caps_per_client': 119, 'rbd_readahead_max_bytes': 1127339, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.949736725603654}"
345.0,"{'mds_recall_warning_threshold': 45268, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 5122, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 72651965, 'osd_tier_default_cache_hit_set_count': 5, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 211, 'rbd_readahead_max_bytes': 1042800, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.10478600460917671}"
345.0,"{'mds_recall_warning_threshold': 70027, 'mds_dir_max_commit_size': 13, 'mds_recall_max_caps': 5259, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 82838599, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 166, 'rbd_readahead_max_bytes': 1126408, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.33070120833607075}"
345.0,"{'mds_recall_warning_threshold': 44351, 'mds_dir_max_commit_size': 24, 'mds_recall_max_caps': 7572, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 84552259, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 240, 'rbd_readahead_max_bytes': 664458, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.302605919179144}"
345.0,"{'mds_recall_warning_threshold': 60745, 'mds_dir_max_commit_size': 12, 'mds_recall_max_caps': 6865, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 78613439, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 39, 'mds_min_caps_per_client': 403, 'rbd_readahead_max_bytes': 588286, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.66106563123798}"
345.0,"{'mds_recall_warning_threshold': 39975, 'mds_dir_max_commit_size': 23, 'mds_recall_max_caps': 5007, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 86798011, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 105, 'rbd_readahead_max_bytes': 1166326, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.38381948683318023}"
345.0,"{'mds_recall_warning_threshold': 41887, 'mds_dir_max_commit_size': 23, 'mds_recall_max_caps': 5278, 'mds_session_cache_liveness_magnitude': 13, 'bluestore_fsck_read_bytes_cap': 84118360, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 481, 'rbd_readahead_max_bytes': 866263, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.4651356053163282}"
345.0,"{'mds_recall_warning_threshold': 45560, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 6725, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 68689075, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 33, 'mds_min_caps_per_client': 482, 'rbd_readahead_max_bytes': 722899, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7536347541815315}"
