score,parameters
349.0,"{'mds_recall_warning_threshold': 82981, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7740, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 67377170, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 34, 'mds_min_caps_per_client': 154, 'rbd_readahead_max_bytes': 1219670, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.37326569856161484}"
349.0,"{'mds_recall_warning_threshold': 77080, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 5397, 'mds_session_cache_liveness_magnitude': 13, 'bluestore_fsck_read_bytes_cap': 71156427, 'osd_tier_default_cache_hit_set_count': 5, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 135, 'rbd_readahead_max_bytes': 1190613, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.28893187546139765}"
349.0,"{'mds_recall_warning_threshold': 45386, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 6449, 'mds_session_cache_liveness_magnitude': 10, 'bluestore_fsck_read_bytes_cap': 80439299, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 48, 'mds_min_caps_per_client': 322, 'rbd_readahead_max_bytes': 842342, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3636538788109211}"
349.0,"{'mds_recall_warning_threshold': 45126, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 6543, 'mds_session_cache_liveness_magnitude': 13, 'bluestore_fsck_read_bytes_cap': 73713593, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 282, 'rbd_readahead_max_bytes': 835651, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.34433553175156606}"
349.0,"{'mds_recall_warning_threshold': 50728, 'mds_dir_max_commit_size': 21, 'mds_recall_max_caps': 6544, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 69917848, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 220, 'rbd_readahead_max_bytes': 1004957, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9802420165757829}"
349.0,"{'mds_recall_warning_threshold': 85004, 'mds_dir_max_commit_size': 22, 'mds_recall_max_caps': 6076, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 68073446, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 46, 'mds_min_caps_per_client': 375, 'rbd_readahead_max_bytes': 624663, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3127973385903373}"
349.0,"{'mds_recall_warning_threshold': 48044, 'mds_dir_max_commit_size': 22, 'mds_recall_max_caps': 5786, 'mds_session_cache_liveness_magnitude': 16, 'bluestore_fsck_read_bytes_cap': 81765118, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 225, 'rbd_readahead_max_bytes': 722537, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8181065842573016}"
349.0,"{'mds_recall_warning_threshold': 38875, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7333, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 76374118, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 124, 'rbd_readahead_max_bytes': 929766, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3064531632993113}"
349.0,"{'mds_recall_warning_threshold': 48754, 'mds_dir_max_commit_size': 13, 'mds_recall_max_caps': 7479, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 81617148, 'osd_tier_default_cache_hit_set_count': 6, 'osd_target_transaction_size': 35, 'mds_min_caps_per_client': 329, 'rbd_readahead_max_bytes': 1216360, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.2939513978241628}"
349.0,"{'mds_recall_warning_threshold': 64051, 'mds_dir_max_commit_size': 20, 'mds_recall_max_caps': 5676, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 86953774, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 221, 'rbd_readahead_max_bytes': 914769, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.3170596306721143}"
