Target,mds_recall_max_caps,mds_dir_max_commit_size,osd_tier_default_cache_hit_set_count,mds_cache_reservation,mds_session_cache_liveness_magnitude,client_oc_max_dirty,mds_recall_warning_threshold,bluestore_fsck_read_bytes_cap
353,11149,34,10,0.23735599999999998,28,104884966,91892,87135672
348,12159,33,9,1.18919,24,104868637,89999,87140091
351,12170,36,8,0.318245,25,104868465,116623,87134136
355,12311,30,8,1.32626,20,104870555,91720,87125011
350,10242,32,8,0.160683,26,104889888,100167,87116003
348,8960,34,8,1.3679,29,104881232,90536,87121880
356,10681,36,11,0.662208,28,104875894,94283,87121227
355,8811,32,8,0.567511,20,104872086,98698,87111498
351,12971,37,9,1.3638,29,104877403,90407,87129274
355,12984,34,8,1.35511,21,104857615,108792,87136894
355,9556,38,9,0.264879,25,104874743,106105,87134085
354,9737,34,11,1.2179,20,104885679,94642,87113508
349,8932,33,9,1.65822,20,104870082,106090,87123833
356,8320,39,10,1.36404,24,104885301,110482,87118649
348,11859,37,9,1.35004,25,104861446,112184,87123083
345,12893,32,9,0.36348400000000003,24,104886771,100788,87121367
349,9763,30,9,1.00632,20,104875408,111428,87114396
353,10505,38,9,1.9710400000000001,20,104888952,88751,87128543
350,9674,34,9,1.69616,23,104870624,99913,87117519
349,8179,39,11,0.138456,23,104888206,91501,87122982
357,11679,37,10,1.60565,26,104878929,113700,87132207
348,8030,32,10,1.2093399999999999,28,104859121,98429,87116930
351,10271,38,8,1.28532,20,104879341,109116,87121285
352,9357,34,11,1.80293,21,104864904,97217,87125512
357,10110,34,11,1.8215,27,104886235,117675,87114517
346,10202,32,8,1.13721,26,104865336,99392,87109585
346,8893,34,9,0.07450169999999999,21,104863288,102920,87112805
359,8761,34,9,1.50785,29,104859511,108927,87124693
342,9717,35,11,1.0117399999999999,27,104870875,95720,87112305
350,11170,39,11,1.12976,20,104881573,107694,87115955
342,9667,36,8,0.12016500000000001,20,104882535,88104,87132984
356,12763,39,11,1.04188,24,104882941,114064,87118217
348,11655,30,10,0.336878,21,104879048,107356,87113413
350,10708,38,10,1.37345,29,104878462,87649,87130020
357,12716,33,8,0.740458,27,104889654,99194,87139959
351,9601,35,10,0.5917680000000001,24,104881394,89361,87117843
350,11297,36,8,1.04964,26,104889865,105284,87113609
346,12845,35,8,0.9225610000000001,27,104865338,112101,87116935
354,9305,37,10,1.72747,23,104881660,114857,87135341
349,11472,31,10,0.150279,21,104883394,109554,87115906
352,8999,35,9,0.207535,28,104877949,109648,87137660
356,12165,38,10,0.637081,27,104875283,107454,87112751
350,8197,32,10,0.08574839999999999,21,104884618,116067,87116314
350,11611,31,8,1.42119,21,104859442,118705,87120865
349,10021,36,8,1.10127,29,104878636,88138,87122713
351,8442,34,8,1.40629,26,104867106,101385,87141449
346,12272,31,10,0.0922085,27,104876316,103848,87123172
357,12454,37,8,0.672046,26,104888946,104498,87113376
349,8020,34,10,0.35877800000000004,26,104881660,98277,87135759
351,11472,35,11,0.11183299999999999,25,104857789,104754,87122286
349,10776,30,8,1.5127899999999999,23,104888806,89678,87125019
353,8567,37,11,1.42584,23,104865136,93095,87128178
356,11973,31,8,0.294804,25,104860057,105798,87112478
346,10668,32,9,0.34575700000000004,27,104886354,97406,87131724
351,10363,37,10,1.43858,21,104874409,97089,87140254
348,10802,37,10,0.9711770000000001,20,104877489,106055,87131649
355,12934,32,9,1.57104,25,104865141,99278,87140481
345,8974,37,8,0.29495,21,104861218,103558,87113262
352,9309,33,10,0.670808,22,104878032,91481,87125802
354,12259,33,10,1.87652,22,104867272,104521,87112460
347,8448,35,8,1.50146,25,104881822,111899,87110274
354,11016,31,8,1.1617899999999999,27,104876479,94667,87118767
352,10842,30,9,1.00403,24,104878080,108143,87125723
352,8477,34,11,0.914092,23,104881139,96857,87116444
348,11066,33,8,1.0857700000000001,27,104879939,86098,87132982
357,10065,37,11,0.6728609999999999,29,104883656,100234,87129238
354,8790,37,11,0.478152,28,104859151,116122,87122741
351,10438,35,8,0.964772,20,104865430,98990,87111418
351,11977,37,11,0.6620199999999999,23,104864226,92014,87136732
353,12988,31,8,1.69107,25,104868571,104480,87110476
350,12711,31,10,0.294542,22,104862906,106354,87126305
350,11210,34,9,1.6401,27,104859621,111845,87128258
358,12105,39,11,0.838298,27,104885831,93155,87109915
354,10969,38,8,1.33972,24,104872122,115959,87118340
353,12350,31,8,0.589956,26,104869128,97096,87131360
351,10471,38,10,0.0562269,29,104880163,98899,87117976
351,12557,33,9,1.91353,26,104883432,90568,87129680
349,12805,30,8,0.48467899999999997,21,104868035,89470,87118179
350,11906,30,11,0.0670936,27,104886391,95433,87136169
355,12765,35,9,1.95075,20,104889989,113217,87123711
351,10726,37,8,0.31855,28,104880964,107509,87109556
352,11495,36,11,0.39155300000000004,27,104867733,97844,87114451
351,10644,32,8,1.78575,20,104861127,110056,87140275
357,11674,32,8,1.11191,28,104866229,104768,87133271
347,8171,37,10,0.709866,21,104874987,101863,87112451
354,11262,36,11,0.556427,28,104865133,113546,87119993
354,12741,39,9,0.0573703,27,104885387,101456,87137618
345,11166,34,8,0.851406,20,104868971,110765,87110494
348,8080,38,9,0.46853,24,104870528,104187,87140686
344,8217,33,8,0.5282180000000001,27,104859169,92681,87137095
356,10547,34,11,0.7455970000000001,28,104881943,105251,87141308
348,11327,34,8,0.11970599999999999,22,104862613,104594,87118433
349,11186,33,11,1.08297,28,104871832,96013,87122304
350,12056,36,9,1.67904,22,104872507,92946,87127579
353,11194,39,10,1.05221,28,104876460,87516,87124607
350,8982,35,9,0.7615609999999999,29,104880429,114126,87131455
352,10949,35,9,0.9175530000000001,24,104882139,102711,87140365
353,12053,35,11,0.403016,20,104888278,107965,87131763
346,8648,31,9,1.4671399999999999,24,104863712,105438,87112390
355,11675,37,8,1.8368200000000001,27,104878895,96615,87125045
