Target,mds_recall_max_caps,mds_dir_max_commit_size,mds_cache_reservation,osd_tier_default_cache_hit_set_count,mds_session_cache_liveness_magnitude,mds_recall_warning_threshold,client_oc_max_dirty,bluestore_fsck_read_bytes_cap,rbd_readahead_max_bytes,osd_target_transaction_size,mds_min_caps_per_client
353,11149,34,0.23735599999999998,10,28,91892,104884966,87135672,1253394,53,533
348,12159,33,1.18919,9,24,89999,104868637,87140091,1266497,73,546
351,12170,36,0.318245,8,25,116623,104868465,87134136,1262069,77,574
355,12311,30,1.32626,8,20,91720,104870555,87125011,1267699,71,527
350,10242,32,0.160683,8,26,100167,104889888,87116003,1251209,67,557
348,8960,34,1.3679,8,29,90536,104881232,87121880,1252590,51,541
356,10681,36,0.662208,11,28,94283,104875894,87121227,1252631,54,500
355,8811,32,0.567511,8,20,98698,104872086,87111498,1270818,51,584
351,12971,37,1.3638,9,29,90407,104877403,87129274,1255768,53,505
355,12984,34,1.35511,8,21,108792,104857615,87136894,1243976,61,555
355,9556,38,0.264879,9,25,106105,104874743,87134085,1248925,73,594
354,9737,34,1.2179,11,20,94642,104885679,87113508,1257624,60,526
349,8932,33,1.65822,9,20,106090,104870082,87123833,1262637,69,509
356,8320,39,1.36404,10,24,110482,104885301,87118649,1247309,78,533
348,11859,37,1.35004,9,25,112184,104861446,87123083,1269539,77,500
345,12893,32,0.36348400000000003,9,24,100788,104886771,87121367,1244800,74,531
349,9763,30,1.00632,9,20,111428,104875408,87114396,1257124,67,517
353,10505,38,1.9710400000000001,9,20,88751,104888952,87128543,1271147,69,559
350,9674,34,1.69616,9,23,99913,104870624,87117519,1248688,62,589
349,8179,39,0.138456,11,23,91501,104888206,87122982,1243648,50,587
357,11679,37,1.60565,10,26,113700,104878929,87132207,1262955,67,592
348,8030,32,1.2093399999999999,10,28,98429,104859121,87116930,1264863,56,544
351,10271,38,1.28532,8,20,109116,104879341,87121285,1244648,61,519
352,9357,34,1.80293,11,21,97217,104864904,87125512,1272499,61,589
357,10110,34,1.8215,11,27,117675,104886235,87114517,1266953,73,549
346,10202,32,1.13721,8,26,99392,104865336,87109585,1252939,73,512
346,8893,34,0.07450169999999999,9,21,102920,104863288,87112805,1243320,52,532
359,8761,34,1.50785,9,29,108927,104859511,87124693,1269683,79,549
342,9717,35,1.0117399999999999,11,27,95720,104870875,87112305,1250582,51,508
350,11170,39,1.12976,11,20,107694,104881573,87115955,1266984,78,577
342,9667,36,0.12016500000000001,8,20,88104,104882535,87132984,1252587,50,513
356,12763,39,1.04188,11,24,114064,104882941,87118217,1250628,67,550
348,11655,30,0.336878,10,21,107356,104879048,87113413,1249528,56,545
350,10708,38,1.37345,10,29,87649,104878462,87130020,1242887,72,569
357,12716,33,0.740458,8,27,99194,104889654,87139959,1263028,53,567
351,9601,35,0.5917680000000001,10,24,89361,104881394,87117843,1265223,61,560
350,11297,36,1.04964,8,26,105284,104889865,87113609,1260654,52,547
346,12845,35,0.9225610000000001,8,27,112101,104865338,87116935,1270676,58,536
354,9305,37,1.72747,10,23,114857,104881660,87135341,1272617,62,558
349,11472,31,0.150279,10,21,109554,104883394,87115906,1250238,58,579
352,8999,35,0.207535,9,28,109648,104877949,87137660,1244525,69,534
356,12165,38,0.637081,10,27,107454,104875283,87112751,1262315,51,543
350,8197,32,0.08574839999999999,10,21,116067,104884618,87116314,1245893,61,585
350,11611,31,1.42119,8,21,118705,104859442,87120865,1246401,66,512
349,10021,36,1.10127,8,29,88138,104878636,87122713,1241841,60,529
351,8442,34,1.40629,8,26,101385,104867106,87141449,1253820,71,528
346,12272,31,0.0922085,10,27,103848,104876316,87123172,1268546,76,553
357,12454,37,0.672046,8,26,104498,104888946,87113376,1245202,69,593
349,8020,34,0.35877800000000004,10,26,98277,104881660,87135759,1256250,58,586
351,11472,35,0.11183299999999999,11,25,104754,104857789,87122286,1264800,74,547
349,10776,30,1.5127899999999999,8,23,89678,104888806,87125019,1250325,78,514
353,8567,37,1.42584,11,23,93095,104865136,87128178,1252537,65,515
356,11973,31,0.294804,8,25,105798,104860057,87112478,1249017,69,511
346,10668,32,0.34575700000000004,9,27,97406,104886354,87131724,1258959,61,508
351,10363,37,1.43858,10,21,97089,104874409,87140254,1268725,53,504
348,10802,37,0.9711770000000001,10,20,106055,104877489,87131649,1253185,74,561
355,12934,32,1.57104,9,25,99278,104865141,87140481,1249842,74,513
345,8974,37,0.29495,8,21,103558,104861218,87113262,1266352,61,506
352,9309,33,0.670808,10,22,91481,104878032,87125802,1262475,65,525
354,12259,33,1.87652,10,22,104521,104867272,87112460,1241893,73,587
347,8448,35,1.50146,8,25,111899,104881822,87110274,1245639,68,580
354,11016,31,1.1617899999999999,8,27,94667,104876479,87118767,1271617,70,533
352,10842,30,1.00403,9,24,108143,104878080,87125723,1263905,72,546
352,8477,34,0.914092,11,23,96857,104881139,87116444,1264715,64,561
348,11066,33,1.0857700000000001,8,27,86098,104879939,87132982,1241805,75,546
357,10065,37,0.6728609999999999,11,29,100234,104883656,87129238,1271258,78,570
354,8790,37,0.478152,11,28,116122,104859151,87122741,1241650,54,546
351,10438,35,0.964772,8,20,98990,104865430,87111418,1258588,67,548
351,11977,37,0.6620199999999999,11,23,92014,104864226,87136732,1252053,62,521
353,12988,31,1.69107,8,25,104480,104868571,87110476,1251390,52,596
350,12711,31,0.294542,10,22,106354,104862906,87126305,1265748,57,568
350,11210,34,1.6401,9,27,111845,104859621,87128258,1248061,56,521
358,12105,39,0.838298,11,27,93155,104885831,87109915,1248346,61,521
354,10969,38,1.33972,8,24,115959,104872122,87118340,1242224,53,597
353,12350,31,0.589956,8,26,97096,104869128,87131360,1264807,51,544
351,10471,38,0.0562269,10,29,98899,104880163,87117976,1261336,53,542
351,12557,33,1.91353,9,26,90568,104883432,87129680,1255749,72,590
349,12805,30,0.48467899999999997,8,21,89470,104868035,87118179,1255732,52,595
350,11906,30,0.0670936,11,27,95433,104886391,87136169,1257733,69,570
355,12765,35,1.95075,9,20,113217,104889989,87123711,1269117,69,529
351,10726,37,0.31855,8,28,107509,104880964,87109556,1246578,63,555
352,11495,36,0.39155300000000004,11,27,97844,104867733,87114451,1267374,72,521
351,10644,32,1.78575,8,20,110056,104861127,87140275,1242986,62,576
357,11674,32,1.11191,8,28,104768,104866229,87133271,1257520,71,531
347,8171,37,0.709866,10,21,101863,104874987,87112451,1241209,53,564
354,11262,36,0.556427,11,28,113546,104865133,87119993,1267535,66,504
354,12741,39,0.0573703,9,27,101456,104885387,87137618,1269309,66,586
345,11166,34,0.851406,8,20,110765,104868971,87110494,1267221,58,588
348,8080,38,0.46853,9,24,104187,104870528,87140686,1241670,55,568
344,8217,33,0.5282180000000001,8,27,92681,104859169,87137095,1247175,56,596
356,10547,34,0.7455970000000001,11,28,105251,104881943,87141308,1247267,53,579
348,11327,34,0.11970599999999999,8,22,104594,104862613,87118433,1270628,52,594
349,11186,33,1.08297,11,28,96013,104871832,87122304,1253938,79,536
350,12056,36,1.67904,9,22,92946,104872507,87127579,1252522,55,522
