failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw
1,84.0,235205840.0,89.0,0.0,100.0,15.0,100.0,0.0,74.0,34574141406.0,80.0,17957.0,100.0,0.0,100.0,14.0,100.0,285.0,100.0,1066.0,27.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0
1,82.0,147146016.0,91.0,0.0,100.0,7.0,100.0,880.0,88.0,683549208.0,79.0,18905.0,100.0,0.0,100.0,6.0,100.0,276.0,100.0,891.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0
1,100.0,3025584.0,92.0,0.0,100.0,13.0,98.0,2760.0,81.0,157401084.0,56.0,38584.0,100.0,0.0,100.0,12.0,100.0,1.0,97.0,6659.0,19.0,19.0,100.0,48.0,100.0,48.0,200.0,0.0
0,119.0,225509376.0,94.0,0.0,100.0,6.0,100.0,0.0,88.0,730559636.0,62.0,34121.0,100.0,0.0,100.0,6.0,100.0,0.0,97.0,7481.0,31.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0
1,84.0,240814240.0,99.0,0.0,100.0,9.0,100.0,0.0,87.0,499295393.0,87.0,11633.0,100.0,0.0,100.0,9.0,100.0,1.0,100.0,24.0,40.0,40.0,100.0,0.0,100.0,0.0,200.0,0.0
0,100.0,0.0,100.0,418.0,100.0,9.0,100.0,0.0,100.0,0.0,97.0,24529.0,100.0,0.0,100.0,9.0,100.0,345.0,100.0,345.0,187.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0
0,81.0,134360064.0,99.0,0.0,100.0,1.0,100.0,0.0,86.0,379563232.0,98.0,2537.0,100.0,0.0,100.0,1.0,100.0,18.0,100.0,1138.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0
0,83.0,216326360.0,95.0,0.0,100.0,4.0,100.0,0.0,84.0,246265204.0,99.0,1573.0,100.0,0.0,100.0,4.0,100.0,6.0,100.0,197.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0
1,83.0,181389336.0,89.0,0.0,100.0,20.0,95.0,22256.0,89.0,726681911.0,80.0,18257.0,100.0,0.0,100.0,19.0,100.0,248.0,100.0,884.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0
0,83.0,181526336.0,89.0,0.0,100.0,10.0,100.0,0.0,87.0,548331891.0,86.0,12523.0,100.0,0.0,100.0,10.0,100.0,183.0,99.0,2667.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0
1,117.0,161214624.0,91.0,0.0,100.0,17.0,100.0,0.0,88.0,677680986.0,62.0,34124.0,100.0,0.0,100.0,17.0,100.0,0.0,75.0,50408.0,28.0,28.0,100.0,16.0,100.0,16.0,200.0,0.0
0,118.0,170524648.0,92.0,0.0,100.0,11.0,100.0,0.0,90.0,952338153.0,58.0,37105.0,100.0,0.0,100.0,11.0,100.0,3.0,96.0,9554.0,19.0,19.0,100.0,0.0,100.0,0.0,200.0,0.0
0,77.0,55160944.0,93.0,0.0,100.0,6.0,100.0,0.0,75.0,31048021.0,100.0,322.0,100.0,0.0,100.0,6.0,100.0,1.0,100.0,669.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0
0,75.0,32786808.0,89.0,0.0,100.0,13.0,100.0,0.0,84.0,229252867.0,81.0,17306.0,100.0,0.0,100.0,12.0,100.0,229.0,100.0,855.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0
1,66.0,207059016.0,93.0,0.0,100.0,5.0,100.0,2184.0,91.0,1210080061.0,75.0,22274.0,100.0,0.0,100.0,5.0,100.0,7.0,86.0,28068.0,33.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0
1,83.0,197671184.0,89.0,0.0,100.0,6.0,100.0,0.0,95.0,2826950383.0,69.0,27344.0,100.0,0.0,100.0,6.0,100.0,1.0,83.0,35946.0,32.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0
0,83.0,183566920.0,92.0,0.0,100.0,6.0,100.0,0.0,86.0,419714186.0,88.0,10605.0,100.0,0.0,100.0,6.0,100.0,131.0,100.0,1303.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0
0,84.0,236596096.0,89.0,0.0,100.0,10.0,100.0,0.0,91.0,1258026242.0,77.0,20995.0,100.0,0.0,100.0,10.0,100.0,5.0,86.0,28881.0,46.0,46.0,100.0,0.0,100.0,0.0,200.0,0.0
1,84.0,237469144.0,95.0,0.0,100.0,4.0,69.0,56664.0,85.0,290236803.0,88.0,10713.0,100.0,0.0,100.0,4.0,100.0,147.0,100.0,1262.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0
0,100.0,0.0,100.0,7925.0,100.0,5.0,100.0,0.0,100.0,0.0,73.0,10948.0,100.0,0.0,100.0,5.0,100.0,2.0,100.0,85.0,100.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0
0,66.0,3723664.0,90.0,0.0,100.0,17.0,100.0,0.0,87.0,559840403.0,78.0,19406.0,100.0,0.0,100.0,15.0,100.0,263.0,100.0,1155.0,30.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0
0,74.0,24947608.0,96.0,0.0,100.0,5.0,100.0,0.0,87.0,531121221.0,78.0,20043.0,100.0,0.0,100.0,4.0,100.0,284.0,100.0,1021.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0
0,81.0,113574184.0,86.0,0.0,100.0,7.0,100.0,0.0,94.0,2729405278.0,70.0,27072.0,100.0,0.0,100.0,7.0,100.0,0.0,85.0,31650.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0
0,83.0,206988552.0,95.0,0.0,100.0,4.0,100.0,0.0,93.0,1800630210.0,77.0,20521.0,100.0,0.0,100.0,4.0,100.0,34.0,95.0,11698.0,36.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0
0,74.0,26561608.0,97.0,0.0,100.0,2.0,100.0,0.0,87.0,464264231.0,86.0,12502.0,100.0,0.0,100.0,2.0,100.0,168.0,99.0,2536.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0
0,65.0,3231032.0,96.0,0.0,100.0,3.0,100.0,0.0,93.0,2184528425.0,76.0,21790.0,100.0,0.0,100.0,3.0,100.0,55.0,95.0,10178.0,37.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0
1,75.0,29229560.0,89.0,0.0,100.0,17.0,99.0,6976.0,88.0,667498540.0,78.0,19543.0,100.0,0.0,100.0,16.0,100.0,258.0,100.0,944.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0
0,79.0,76080576.0,92.0,0.0,100.0,8.0,100.0,8.0,88.0,650610367.0,78.0,20040.0,100.0,0.0,100.0,7.0,100.0,314.0,100.0,1010.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0
0,84.0,238393320.0,88.0,0.0,100.0,6.0,100.0,0.0,95.0,3056152655.0,66.0,30179.0,100.0,0.0,100.0,6.0,100.0,65.0,100.0,840.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0
0,83.0,215250808.0,93.0,0.0,100.0,6.0,100.0,0.0,84.0,257476388.0,81.0,17265.0,100.0,0.0,100.0,5.0,100.0,221.0,100.0,868.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0
1,84.0,242699392.0,91.0,0.0,100.0,7.0,100.0,112.0,85.0,288070799.0,89.0,9955.0,100.0,0.0,100.0,7.0,100.0,120.0,100.0,1236.0,34.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0
1,100.0,0.0,100.0,7647.0,100.0,1.0,100.0,2.0,100.0,0.0,94.0,2509.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,8.0,100.0,30.0,100.0,1.0,100.0,0.0,200.0,0.0
0,84.0,229679304.0,99.0,0.0,100.0,1.0,100.0,0.0,81.0,137642980.0,98.0,2291.0,100.0,0.0,100.0,1.0,100.0,55.0,100.0,103.0,21.0,21.0,100.0,0.0,100.0,0.0,200.0,0.0
1,118.0,170206032.0,99.0,0.0,100.0,1.0,100.0,0.0,87.0,602005531.0,62.0,33550.0,100.0,0.0,100.0,1.0,100.0,0.0,98.0,4373.0,33.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0
0,82.0,173399264.0,98.0,0.0,100.0,2.0,100.0,0.0,86.0,357943141.0,98.0,2551.0,100.0,0.0,100.0,2.0,100.0,23.0,100.0,1132.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0
0,100.0,0.0,100.0,450.0,100.0,7.0,100.0,0.0,100.0,0.0,97.0,22640.0,100.0,0.0,100.0,6.0,100.0,282.0,100.0,282.0,200.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0
0,81.0,118712392.0,91.0,0.0,100.0,5.0,100.0,0.0,94.0,2344280472.0,66.0,30179.0,100.0,0.0,100.0,5.0,100.0,3.0,91.0,19771.0,37.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0
1,82.0,150376928.0,89.0,0.0,100.0,17.0,100.0,0.0,93.0,1863085928.0,72.0,25225.0,100.0,0.0,100.0,17.0,100.0,17.0,86.0,28082.0,32.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0
1,76.0,39016400.0,89.0,0.0,100.0,19.0,86.0,55552.0,83.0,199848126.0,80.0,18086.0,100.0,0.0,100.0,18.0,100.0,258.0,100.0,1060.0,30.0,30.0,100.0,8.0,100.0,8.0,200.0,0.0
0,81.0,117643392.0,84.0,0.0,100.0,16.0,100.0,0.0,82.0,168718183.0,66.0,29970.0,100.0,0.0,100.0,16.0,100.0,7.0,97.0,7257.0,37.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0
0,79.0,87419688.0,94.0,0.0,100.0,3.0,100.0,0.0,94.0,2425326469.0,70.0,27068.0,100.0,0.0,100.0,3.0,100.0,0.0,85.0,30419.0,22.0,22.0,100.0,0.0,100.0,0.0,200.0,0.0
0,100.0,0.0,143.0,540.0,100.0,12.0,100.0,0.0,100.0,0.0,97.0,25545.0,100.0,0.0,100.0,12.0,100.0,375.0,100.0,375.0,222.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0
1,74.0,86600880.0,91.0,0.0,100.0,7.0,100.0,0.0,93.0,1964397059.0,77.0,20884.0,100.0,0.0,100.0,7.0,100.0,22.0,94.0,12672.0,44.0,44.0,100.0,8.0,100.0,8.0,200.0,0.0
0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,0.0,100.0,3451.0,100.0,0.0,100.0,1.0,100.0,252.0,100.0,252.0,166.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0
0,78.0,65244368.0,99.0,0.0,100.0,1.0,100.0,0.0,82.0,154918835.0,90.0,9537.0,100.0,0.0,100.0,1.0,100.0,147.0,100.0,1616.0,36.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0
0,100.0,0.0,182.0,374.0,100.0,14.0,100.0,0.0,100.0,0.0,100.0,4671.0,100.0,0.0,100.0,14.0,100.0,202.0,100.0,202.0,176.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0
1,81.0,138197864.0,95.0,0.0,100.0,4.0,100.0,0.0,89.0,766853566.0,95.0,4389.0,100.0,0.0,100.0,4.0,100.0,19.0,100.0,550.0,36.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0
0,81.0,131036016.0,90.0,0.0,100.0,8.0,100.0,8.0,86.0,377991758.0,81.0,17459.0,100.0,0.0,100.0,7.0,100.0,220.0,100.0,862.0,33.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0
