score,parameters
4639.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 79997912, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 79999342, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79999116, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4638.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79998889, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79999430, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4637.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 79998515, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
4636.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 79999282, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999847, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79999164, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4637.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 79999002, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
4635.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999708, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
4639.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79997805, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999943, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79999360, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4639.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999899, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4639.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79998515, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 79999369, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79997742, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4637.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79997980, 'ms_async_op_threads': 21, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79998138, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79997238, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4640.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79999850, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4636.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79999726, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
4631.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 79991728, 'ms_async_op_threads': 17, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4638.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79997629, 'ms_async_op_threads': 24, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
4633.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 79997750, 'ms_async_op_threads': 17, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
4638.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79999756, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
4638.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79999986, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
