score,parameters
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 72549131, 'ms_async_op_threads': 15, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 70158680, 'ms_async_op_threads': 20, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 71002970, 'ms_async_op_threads': 4, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 79263253, 'ms_async_op_threads': 10, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 72537747, 'ms_async_op_threads': 11, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 79686594, 'ms_async_op_threads': 11, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 68048842, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 75385386, 'ms_async_op_threads': 7, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 74779664, 'ms_async_op_threads': 16, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 72791848, 'ms_async_op_threads': 17, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67587278, 'ms_async_op_threads': 6, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 69627676, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 75143971, 'ms_async_op_threads': 3, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 74496410, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 77048946, 'ms_async_op_threads': 14, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 70715502, 'ms_async_op_threads': 16, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 72629382, 'ms_async_op_threads': 16, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 76891671, 'ms_async_op_threads': 20, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 70774094, 'ms_async_op_threads': 3, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 70499270, 'ms_async_op_threads': 11, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 68965031, 'ms_async_op_threads': 4, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 71225444, 'ms_async_op_threads': 20, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 69979758, 'ms_async_op_threads': 16, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 70614212, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 70845829, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 67994504, 'ms_async_op_threads': 6, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 72112634, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 72539237, 'ms_async_op_threads': 7, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 70698968, 'ms_async_op_threads': 13, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
393.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 71382580, 'ms_async_op_threads': 20, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
