score,parameters
869.0,"{'mds_recall_warning_threshold': 47284, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 6392, 'mds_session_cache_liveness_magnitude': 12, 'bluestore_fsck_read_bytes_cap': 87107005, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 34, 'mds_min_caps_per_client': 471, 'rbd_readahead_max_bytes': 569621, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.13044968392878942}"
318.0,"{'mds_recall_warning_threshold': 66540, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 6685, 'mds_session_cache_liveness_magnitude': 15, 'bluestore_fsck_read_bytes_cap': 87107317, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 39, 'mds_min_caps_per_client': 500, 'rbd_readahead_max_bytes': 1233856, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.614212070265654}"
515.0,"{'mds_recall_warning_threshold': 35872, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7774, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87107767, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 40, 'mds_min_caps_per_client': 492, 'rbd_readahead_max_bytes': 773339, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8181276688360087}"
1794.0,"{'mds_recall_warning_threshold': 62760, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 5762, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 87104542, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 488, 'rbd_readahead_max_bytes': 524385, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.916517621172548}"
1495.0,"{'mds_recall_warning_threshold': 53263, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 5132, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87108003, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 38, 'mds_min_caps_per_client': 382, 'rbd_readahead_max_bytes': 524348, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.5848081720977394}"
309.0,"{'mds_recall_warning_threshold': 81023, 'mds_dir_max_commit_size': 27, 'mds_recall_max_caps': 5771, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 87105483, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 38, 'mds_min_caps_per_client': 492, 'rbd_readahead_max_bytes': 1213408, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9222491915751619}"
501.0,"{'mds_recall_warning_threshold': 78519, 'mds_dir_max_commit_size': 20, 'mds_recall_max_caps': 7053, 'mds_session_cache_liveness_magnitude': 13, 'bluestore_fsck_read_bytes_cap': 87107837, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 31, 'mds_min_caps_per_client': 488, 'rbd_readahead_max_bytes': 556659, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.45278602248225197}"
322.0,"{'mds_recall_warning_threshold': 83066, 'mds_dir_max_commit_size': 16, 'mds_recall_max_caps': 7825, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 87106413, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 487, 'rbd_readahead_max_bytes': 1239569, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.762972345116214}"
275.0,"{'mds_recall_warning_threshold': 60732, 'mds_dir_max_commit_size': 28, 'mds_recall_max_caps': 7860, 'mds_session_cache_liveness_magnitude': 17, 'bluestore_fsck_read_bytes_cap': 87098672, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 36, 'mds_min_caps_per_client': 415, 'rbd_readahead_max_bytes': 1228382, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.235470725528513}"
278.0,"{'mds_recall_warning_threshold': 61643, 'mds_dir_max_commit_size': 18, 'mds_recall_max_caps': 5982, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 87105839, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 500, 'rbd_readahead_max_bytes': 1180121, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.7093768977128488}"
