score,parameters
378.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 67123492, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
399.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67124231, 'ms_async_op_threads': 11, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
375.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67111643, 'ms_async_op_threads': 18, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
378.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67140095, 'ms_async_op_threads': 4, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
406.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67122236, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
404.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67144337, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
391.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67121230, 'ms_async_op_threads': 5, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
375.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 67140252, 'ms_async_op_threads': 17, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
396.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67133358, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
391.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67109019, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
412.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67117563, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
411.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67118943, 'ms_async_op_threads': 10, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
398.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67122436, 'ms_async_op_threads': 13, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
374.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67110971, 'ms_async_op_threads': 15, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
410.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67123402, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
380.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67148475, 'ms_async_op_threads': 2, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
404.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67118106, 'ms_async_op_threads': 23, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
374.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67131265, 'ms_async_op_threads': 7, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
406.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67117032, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
399.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67140754, 'ms_async_op_threads': 19, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
397.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67141641, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
391.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67148408, 'ms_async_op_threads': 4, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
389.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67118782, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
412.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67119267, 'ms_async_op_threads': 8, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
403.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67116571, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 1}"
412.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67119023, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
375.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67133460, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
401.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67115297, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
409.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67117237, 'ms_async_op_threads': 11, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
399.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67117090, 'ms_async_op_threads': 9, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
