score,parameters
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 67135342, 'ms_async_op_threads': 6, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67137974, 'ms_async_op_threads': 11, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67115882, 'ms_async_op_threads': 17, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67140370, 'ms_async_op_threads': 18, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
391.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 76745533, 'ms_async_op_threads': 10, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67125093, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
395.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67140293, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67139113, 'ms_async_op_threads': 6, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67138175, 'ms_async_op_threads': 17, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 1, 'osd_bench_max_block_size': 67138572, 'ms_async_op_threads': 12, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 5, 'osd_bench_max_block_size': 67114851, 'ms_async_op_threads': 15, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67122040, 'ms_async_op_threads': 14, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67123833, 'ms_async_op_threads': 13, 'osd_tier_default_cache_hit_set_search_last_n': 3}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 3, 'osd_bench_max_block_size': 67123626, 'ms_async_op_threads': 22, 'osd_tier_default_cache_hit_set_search_last_n': 5}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 4, 'osd_bench_max_block_size': 67123760, 'ms_async_op_threads': 16, 'osd_tier_default_cache_hit_set_search_last_n': 2}"
394.0,"{'osd_tier_default_cache_min_write_recency_for_promote': 2, 'osd_bench_max_block_size': 67116494, 'ms_async_op_threads': 8, 'osd_tier_default_cache_hit_set_search_last_n': 4}"
